iter	Passed	Remaining
973	24808	662
974	24825	636
975	24843	610
976	24862	585
977	24882	559
978	24900	534
979	24918	508
980	24936	482
981	24953	457
982	24971	431
983	24988	406
984	25007	380
985	25026	355
986	25042	329
987	25059	304
988	25074	278
989	25088	253
990	25106	228
991	25120	202
992	25134	177
993	25146	151
994	25159	126
995	25172	101
996	25183	75
997	25194	50
998	25206	25
999	25217	0
